ID,FEMALE,MALE,BYEAR,AGE,AGEMBTH,HHINC97,POVRAT97,HHBMBF,HHBMOF,HHOMBF,HHBMONLY,HHBFONLY,HHOTHER,MSA97NO,MSA97NCC,MSA97CC,MSA97NK,ETHBLACK,ETHHISP,ETHWHITE,S,EDUCPROF,EDUCPHD,EDUCMAST,EDUCBA,EDUCAA,EDUCHSD,EDUCGED,EDUCDO,PRMONM,PRMONF,PRMSTYUN,PRMSTYPE,PRMSTYAN,PRMSTYAE,PRFSTYUN,PRFSTYPE,PRFSTYAN,PRFSTYAE,SINGLE,MARRIED,COHABIT,OTHSING,FAITHN,FAITHP,FAITHC,FAITHJ,FAITHO,FAITHM,ASVABAR,ASVABWK,ASVABPC,ASVABMK,ASVABNO,ASVABCS,ASVABC,ASVABC4,VERBAL,ASVABMV,HEIGHT,WEIGHT04,WEIGHT11,SF,SM,SFR,SMR,SIBLINGS,REG97NE,REG97NC,REG97S,REG97W,RS97RURL,RS97URBN,RS97UNKN,JOBS,EARNINGS,HOURS,TENURE,CATGOV,CATPRI,CATNPO,CATMIS,CATSE,COLLBARG,URBAN,REGNE,REGNC,REGW,REGS,MSA11NO,MSA11NCC,MSA11CC,MSA11NK,MSA11NIC,EXP
8824,0,1,1980,31,29,,,1,0,0,0,0,0,0,0,1,0,0,0,1,12,0,0,0,0,0,1,0,0,,,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,-.0881514,.1204181,-.5795001,-.0017057,-.1592497,.5727335,-.1750399,-.154239,-.24521,38400,69,190,175,7,14,7,14,4,1,0,0,0,0,1,0,3,15,40,10.90385,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,12.73077
2926,0,1,1982,29,19,61900,490,1,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,0,13,10,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,.4160092,.5039793,.5313807,-.0690537,-1.620204,-.4673762,.5126839,.3861857,.5517416,62016,73,165,180,10,13,10,13,0,0,1,0,0,1,0,0,4,83.33,60,3.269231,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,10.67308
1817,0,1,1983,28,29,47015,251,1,0,0,0,0,0,0,1,0,0,0,0,1,18,0,0,0,1,0,0,0,0,14,6,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,.8543537,.2832032,.2451343,.5575246,1.098577,.1576944,.6142631,.5423035,.2813582,67046,74,275,310,16,16,16,16,2,0,1,0,0,0,1,0,10,15.09,45,4.326923,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,3
4813,0,1,1982,29,31,112800,893,1,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,0,7,6,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,.3904353,.8329456,-.1747779,.5574839,-.2071734,.5427935,.3949822,.4488039,.3505937,62617,74,230,235,16,18,16,18,0,1,0,0,0,0,1,0,8,18.36,50,5.730769,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,6.903846
5724,0,1,1981,30,21,34700,275,0,0,0,0,0,1,1,0,0,0,1,0,0,17,0,0,0,1,0,0,0,0,,,,,,,,,,,0,1,0,0,0,1,0,0,0,0,-.2418364,.2194183,-.1483114,.6607305,1.273491,-.2792194,-.1138124,.1364886,.0375276,47018,71,175,160,12,13,,,2,0,0,1,0,1,0,0,5,15.38,40,4.307693,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,6.826923
3558,0,1,1984,27,21,65000,409,1,0,0,0,0,0,0,0,1,0,0,0,1,14,0,0,0,0,0,1,0,0,12,9,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1.162955,1.348526,2.339403,1.471081,.1571895,.6941022,1.652072,1.768452,1.966295,98553,70,125,150,15,12,15,12,1,0,0,1,0,0,1,0,6,11.54,40,3.307692,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,6.461538
3796,0,1,1984,27,17,39000,186,1,0,0,0,0,0,0,1,0,0,1,0,0,12,0,0,0,0,0,0,1,0,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,-.3736083,-.034499,-1.030141,-.3852086,-.2287521,-.1543031,-.4983177,-.5108885,-.5681403,23837,73,200,240,10,9,10,9,9,0,0,1,0,0,1,0,5,10.53,38,1.076923,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,9.769231
146,0,1,1984,27,19,47000,295,1,0,0,0,0,0,0,1,0,0,1,0,0,12,0,0,0,0,0,1,0,0,11,11,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,-.9372989,-1.28662,-1.091305,-.4477564,-1.247763,-1.291017,-1.168978,-1.053627,-1.268485,18371,76,217,225,12,12,12,12,0,1,0,0,0,0,1,0,5,17,40,7.173077,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,9.711538
1735,0,1,1980,31,31,39600,211,0,1,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0,1,0,0,,,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1.037099,.1522903,.2011665,.8824438,1.180418,-.4695396,.6666397,.6354266,.1880983,67524,72,165,176,12,14,14,14,2,0,0,1,0,0,1,0,3,27.13,40,10.01923,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,13.01923
5234,0,1,1984,27,26,78000,417,1,0,0,0,0,0,1,0,0,0,0,0,1,14,0,0,0,0,1,0,0,0,9,4,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1.279103,-.1312538,.4255461,.1215341,.4199793,.6722843,.7833807,.4736647,.1565473,78023,74,210,240,12,18,12,18,2,0,1,0,0,1,0,0,1,29.81,40,1.019231,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1
1163,0,1,1983,28,28,60300,288,0,0,1,0,0,0,0,1,0,0,0,0,1,18,0,0,0,1,0,0,0,0,,8,,,,,0,0,0,1,0,1,0,0,0,0,1,0,0,0,.5943528,1.113018,1.061387,.810896,1.533318,-.2275477,.9236898,1.001069,1.159168,85523,70,175,170,18,12,18,14,3,1,0,0,0,0,1,0,5,20.91,55,2.192308,0,0,0,1,0,1,1,1,0,0,0,0,1,0,0,0,4.673077
5181,0,1,1983,28,31,67897,427,1,0,0,0,0,0,0,1,0,0,0,0,1,16,0,0,0,1,0,0,0,0,14,12,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,-1.585819,-.2335814,.3051856,-.1941085,-1.238175,-.215392,-.8522906,-.4786705,.0377928,40428,71,190,190,12,16,12,16,1,0,1,0,0,1,0,0,8,24.13,40,4.519231,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,3.923077
3831,0,1,1982,29,23,36724,191,1,0,0,0,0,0,0,1,0,0,0,0,1,10,0,0,0,0,0,0,0,1,7,7,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,-1.513752,-1.595031,-1.085556,-1.594583,-1.068082,-.6437897,-1.568947,-1.620548,-1.429887,7832,68,235,245,9,14,9,14,2,0,0,1,0,1,0,0,6,12.5,40,2.346154,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,12.38461
4884,0,1,1980,31,28,,,1,0,0,0,0,0,1,0,0,0,0,0,1,11,0,0,0,0,0,0,1,0,,,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,.2986533,-.3098563,-.3526397,-1.094701,-.034779,-.0733886,-.0183583,-.4087744,-.353686,31435,63,122,275,11,11,11,11,2,1,0,0,0,0,1,0,9,17.25,48,.3846154,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,13.15385
85,0,1,1984,27,20,12000,75,0,0,0,1,0,0,0,0,1,0,0,0,1,12,0,0,0,0,0,1,0,0,5,,1,0,0,0,,,,,0,1,0,0,0,1,0,0,0,0,.7505761,.4310624,1.15061,.5201434,-.4720882,-.2686914,.8466713,.7975585,.8430774,70113,68,205,200,12,12,,12,2,1,0,0,0,0,1,0,,18,40,2.115385,0,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,6.365385
3533,0,1,1981,30,28,,,1,0,0,0,0,0,0,0,0,1,0,0,1,19,0,0,0,1,0,0,0,0,,,,,,,,,,,1,0,0,0,0,1,0,0,0,0,.4230841,.2581202,.4199516,.1561081,-1.086012,.6433668,.4183944,.3511925,.3612081,59470,72,190,190,9,12,9,12,1,0,0,1,0,0,1,0,5,20,10,.6730769,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0
5368,0,1,1980,31,26,25600,203,0,0,0,0,0,1,1,0,0,0,0,0,1,12,0,0,0,0,0,1,0,0,,,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,-.5825794,-.2017185,.9039888,-1.740321,-2.358177,-1.273062,-.1276404,-.4541312,.3741126,34742,68,280,270,12,12,,,2,0,1,0,0,0,1,0,,7.25,15,.6923077,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,7.480769
4014,0,1,1980,31,30,32200,196,1,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0,1,0,0,,,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,.1601282,.6975321,1.180892,-.0006456,1.250154,.0995964,.603721,.5696404,1.001328,74589,68,150,163,10,14,10,14,2,0,0,1,0,1,0,0,7,10,40,.5769231,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,12.01923
4453,0,1,1983,28,31,38565,242,1,0,0,0,0,0,0,1,0,0,0,0,1,12,0,0,0,0,0,1,0,0,2,2,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,-.1494204,-.6706855,-.0595703,.4854356,-.542293,-3.074786,-.2832263,-.1109495,-.3898207,42768,74,140,150,11,12,11,12,2,0,0,0,1,1,0,0,7,20,40,5.096154,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,8.75
1167,0,1,1980,31,22,,,1,0,0,0,0,0,0,1,0,0,0,0,1,13,0,0,0,0,0,1,0,0,,,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,.7579173,.9980411,.356855,.7605287,.2494429,.0023508,.7883909,.803421,.7221429,77174,70,190,200,12,14,12,14,4,1,0,0,0,0,1,0,3,85.47,45,6.711538,0,1,0,0,1,0,1,1,0,0,0,0,1,0,0,0,12.28846
1062,0,1,1981,30,28,28040,259,0,0,0,1,0,0,0,0,1,0,1,0,0,12,0,0,0,0,0,1,0,0,,,,,,,,,,,0,0,1,0,0,1,0,0,0,0,-.7170841,-.3611106,-1.712981,-1.642935,-.7701371,-.9686657,-.9644651,-1.24143,-1.106457,13270,74,170,170,11,13,,13,4,1,0,0,0,0,1,0,7,7.15,20,1.538462,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,8.288462
4464,0,1,1984,27,24,45000,283,1,0,0,0,0,0,0,1,0,0,0,0,1,11,0,0,0,0,0,0,0,1,9,7,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,-.7923803,-.6207193,-1.49387,-.4011106,-.6011751,-1.157616,-1.016974,-.926332,-1.128054,14174,69,160,182,13,12,13,12,1,0,0,0,1,1,0,0,6,10,60,.0192308,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,6.096154
1279,0,1,1982,29,26,69750,372,1,0,0,0,0,0,0,1,0,0,0,0,1,20,0,0,1,0,0,0,0,0,11,8,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,.9743719,.658787,.8872401,.9242893,1.314007,1.389017,.9598684,.9633014,.8240688,83174,68,165,170,13,12,13,12,2,0,1,0,0,0,1,0,2,32,40,8.25,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,5.25
5657,0,1,1980,31,20,71320,448,0,0,0,1,0,0,1,0,0,0,0,0,1,16,0,0,0,1,0,0,0,0,,,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,-.0124953,.5575222,1.156427,-.7448578,1.002862,-.8569635,.4636566,.2670562,.9136176,58083,76,330,430,8,12,,12,9,0,0,1,0,0,1,0,8,7.5,40,1.211538,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,2.980769
3325,0,1,1980,31,35,98953,516,1,0,0,0,0,0,1,0,0,0,0,0,1,19,0,0,1,0,0,0,0,0,,,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2.271038,.7077767,1.515622,1.758112,2.410123,1.774901,1.858611,1.749027,1.185296,98744,75,180,195,20,18,20,18,2,0,0,1,0,1,0,0,7,46.15,50,2.038461,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,7.538462
